seed,semeion_train_ratio,semeion_train_size,semeion_test_size,method,loss,accuracy,correct,total
456,0.4,637,956,OT,0.6678410616379902,0.3148535564853556,301,956
456,0.4,637,956,OTDD,0.6778832681508243,0.3389121338912134,324,956
789,0.1,159,1434,full_zero_shot,0.44710577286603226,0.36610878661087864,525,1434
789,0.1,159,1434,random_zero_shot,0.7652773303466861,0.12203626220362622,175,1434
789,0.1,159,1434,KNN,0.6872916986420231,0.34309623430962344,492,1434
789,0.1,159,1434,OT,0.6705751842202169,0.3382147838214784,485,1434
789,0.1,159,1434,OTDD,0.6583841078949773,0.34518828451882844,495,1434
789,0.2,318,1275,full_zero_shot,0.4501203248080085,0.36470588235294116,465,1275
789,0.2,318,1275,random_zero_shot,0.7650647376565373,0.12313725490196079,157,1275
789,0.2,318,1275,KNN,0.6793812413309135,0.32784313725490194,418,1275
789,0.2,318,1275,OT,0.7073588640549604,0.3137254901960784,400,1275
789,0.2,318,1275,OTDD,0.6755341626148598,0.33098039215686276,422,1275
789,0.4,637,956,full_zero_shot,0.4569768394386419,0.35355648535564854,338,956
789,0.4,637,956,random_zero_shot,0.7731175629663667,0.11401673640167365,109,956
789,0.4,637,956,KNN,0.6813870255667794,0.32322175732217573,309,956
789,0.4,637,956,OT,0.692645530321608,0.3117154811715481,298,956
789,0.4,637,956,OTDD,0.6838973147100983,0.3284518828451883,314,956
